app_id,genres,player_support,indie
1418844,Simulation,Singleplayer,False
1235763,Adventure,Singleplayer,False
1482860,Adventure,Singleplayer,True
1490340,Adventure,Singleplayer,False
1492070,Action,Multiplayer,True
1501150,RPG,Singleplayer,False
1523720,Simulation,Multiplayer,False
1562700,Action,Singleplayer,True
1640760,,Singleplayer,True
1677180,Simulation,Singleplayer,False
1700220,Action,Singleplayer,False
1742840,Strategy,Singleplayer,True
1797280,Action,Singleplayer,True
1885690,Simulation,Singleplayer,True
1906530,Action,Singleplayer,False
1962430,Adventure,Singleplayer,False
2147630,Strategy,Singleplayer,True
1910790,Adventure,Singleplayer,True
1911560,Adventure,Singleplayer,False
1940752,Action,Singleplayer,False
1115580,Action,Singleplayer,True
1128880,Adventure,Singleplayer,True
1149710,Action,Singleplayer,True
1179450,Strategy,Singleplayer,False
1185600,Strategy,Singleplayer,True
1202310,Simulation,Singleplayer,False
1203040,Action,Singleplayer,False
1286280,Action,Singleplayer,False
1298050,Adventure,Singleplayer,True
1305310,Action,Multiplayer,True
1333410,Simulation,Multiplayer,False
1343920,Action,Singleplayer,True
1364034,Simulation,Singleplayer,False
1365020,Sports,Singleplayer,False
1370050,Action,Singleplayer,False
1423090,Action,Singleplayer,False
1464980,,Singleplayer,False
1482081,Action,Singleplayer,False
1198960,Simulation,Singleplayer,True
73095,Action,Singleplayer,False
1061610,RPG,Singleplayer,False
1064460,Adventure,Singleplayer,True
1066290,Adventure,Singleplayer,True
324250,RPG,Singleplayer,True
1076160,Strategy,Singleplayer,False
1081510,Adventure,Singleplayer,True
1090183,Action,Singleplayer,False
1115050,Action,Singleplayer,True
1122700,Adventure,Singleplayer,True
1126310,Adventure,Singleplayer,True
1139110,Strategy,Singleplayer,True
1141360,RPG,Singleplayer,False
1180491,Action,Singleplayer,False
1191580,Adventure,Singleplayer,True
1201270,Adventure,Singleplayer,False
1266430,RPG,Singleplayer,True
918110,Action,Singleplayer,True
818610,Adventure,Singleplayer,True
870690,Adventure,Singleplayer,False
887900,Action,Singleplayer,True
904370,Action,Singleplayer,True
947300,Strategy,Singleplayer,False
975280,Action,Singleplayer,True
943380,Action,Singleplayer,True
979400,Adventure,Singleplayer,True
987480,Adventure,Singleplayer,True
1007520,Action,Singleplayer,False
1027120,RPG,Multiplayer,False
1062830,Action,Multiplayer,True
1093330,,Singleplayer,True
1093800,Simulation,Singleplayer,False
1102380,Strategy,Singleplayer,False
368180,Action,Multiplayer,True
384360,,Singleplayer,True
399780,Adventure,Singleplayer,True
400940,Action,Singleplayer,True
403410,Action,Singleplayer,False
421040,Adventure,Singleplayer,False
428690,Adventure,Singleplayer,True
439750,RPG,Singleplayer,True
1291790,Action,Singleplayer,False
440650,Adventure,Singleplayer,False
456180,Action,Singleplayer,True
461950,Adventure,Singleplayer,True
462680,Strategy,Singleplayer,True
485490,Action,Singleplayer,True
492530,Strategy,Singleplayer,True
499520,Adventure,Singleplayer,True
539670,Adventure,Singleplayer,True
1102130,Adventure,Singleplayer,True
1152320,RPG,Singleplayer,False
1152420,,Singleplayer,False
1174720,Action,Singleplayer,True
1175460,Action,Singleplayer,False
1181840,Adventure,Singleplayer,True
1215110,Action,Singleplayer,False
1222400,Adventure,Singleplayer,True
1272930,Action,Singleplayer,True
1287030,Action,Multiplayer,False
924150,Simulation,Singleplayer,True
1296980,Adventure,Singleplayer,False
1384940,Adventure,Singleplayer,False
1472192,Action,Singleplayer,False
1477920,Adventure,Singleplayer,False
1481490,Action,Singleplayer,False
1503530,Action,Singleplayer,False
1512390,Adventure,Singleplayer,False
578320,Adventure,Singleplayer,False
596000,Adventure,Singleplayer,True
618970,Action,Multiplayer,False
676630,Adventure,Singleplayer,False
687540,Action,Singleplayer,True
701870,Action,Singleplayer,False
723790,Action,Multiplayer,True
760650,RPG,Singleplayer,False
761821,Action,Singleplayer,False
837860,Action,Singleplayer,True
873880,Strategy,Singleplayer,False
881680,,Singleplayer,False
888701,Adventure,Singleplayer,True
894270,Action,Singleplayer,True
552520,,Singleplayer,False
981020,Action,Singleplayer,True
1238520,,Singleplayer,True
1483100,Action,Singleplayer,True
1491780,Action,Singleplayer,False
1524400,Simulation,Singleplayer,True
1532460,Adventure,Singleplayer,True
1543380,Simulation,Singleplayer,False
1564090,Adventure,Singleplayer,True
1567200,Action,Multiplayer,False
1572040,Adventure,Singleplayer,True
1594400,Action,Singleplayer,True
1617270,Adventure,Singleplayer,False
1662480,Action,Singleplayer,True
1739300,Action,Multiplayer,True
1743380,RPG,Singleplayer,True
1763920,,Singleplayer,False
1764820,Action,Multiplayer,True
237050,Action,Singleplayer,True
